query,position,title,url,domain,description,triage_status,triage_reason
"""family office"" ""Hong Kong"" ""multi-family office""",1,Top 10 Family Offices in Hong Kong (2026 Guide) - Dakota,https://www.dakota.com/resources/blog/top-10-family-offices-in-hong-kong-2026-guide,dakota.com,"DL Family Office. Type: Multi-Family Office Headquarters: 22/F, 92 Wellington Street, Central, Hong Kong AUM: ~US$2.3 billion (2023).Read more",reject,non-entity result
"""family office"" ""Hong Kong"" ""multi-family office""",2,Setting Up in Hong Kong - Family Office HK,https://www.familyofficehk.gov.hk/en/setting-up/index.html,familyofficehk.gov.hk,"The establishment of a single-family office is to meet the needs of a single family, while a multi-family office serves multiple ultra-high net worth families.Read more",candidate_raw,own-domain result with direct family-office language
"""family office"" ""Hong Kong"" ""multi-family office""",3,Multi Family Office,https://www.quamwealthgroup.com/en/our_business/multi_family_office/,quamwealthgroup.com,"Our Family Charter team is an important part of the Multi Family Office at Quam Asset Management Limited (SFC License No. AAC662), within Quam Wealth Group. We ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office"" ""Hong Kong"" ""multi-family office""",4,Why Family Offices Choose Hong Kong: Tax Concessions ...,https://www.zedra.com/insights/why-family-offices-choose-hong-kong-tax-concessions-structure/,zedra.com,Multi-Family Office' where several families join forces to share the ... Can a Hong Kong family office manage assets across multiple jurisdictions ...Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""Hong Kong"" ""multi-family office""",5,PwC Hong Kong: Family offices,https://www.pwchk.com/en/industries/financial-services/asset-and-wealth-management/family-office.html,pwchk.com,"... family office or a multi family office. Download the roadmap to establishing ... South Private Clients and Family Office Tax Leader, PwC Hong Kong. +[ ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office"" ""Hong Kong"" ""multi-family office""",6,Mission Capital Management Multi Family Office in Hong ...,https://www.swfinstitute.org/profile/654085c435d1acc7e6985eb3,swfinstitute.org,"Mission Capital Management Limited (Mission Capital Management) is a Multi Family Office located in Hong Kong Hong Kong, Asia, and was founded in 2019.",reject,directory/social/regulator result; use only as corroboration or lookup
"""family office"" ""Hong Kong"" ""multi-family office""",7,The Evolution of Family Office Structures in Hong Kong,https://www.charlesrussellspeechlys.com/en/insights/expert-insights/financial-services/2025/the-evolution-of-family-office-structures-in-hong-kong-a-strategic-guide-to-structural-compliance/,charlesrussellspeechlys.com,Multi-Family Office Considerations. Multi-family offices (“MFO ... Hong Kong's family office tax concession regime represents a ...Read more,reject,non-entity result
"""family office"" ""Hong Kong"" ""multi-family office""",8,Aspire MFO | Multi-family Office and Wealth Management,https://aspiremfo.com/,aspiremfo.com,ASPIRE Multi-family Office is a licensed asset manager and regulated in Hong Kong by the Securities and Futures Commission (BIA093). About Us · Contact Us.Read more,candidate_raw,own-domain result with direct family-office language
"""family office"" ""Hong Kong"" ""multi-family office""",9,Family Offices in Hong Kong,https://www.charltonslaw.com/our-work/private-wealth-trusts-family-offices/family-offices-in-hong-kong-comprehensive-financial-services-for-high-net-worth-families/,charltonslaw.com,"multi-family office structure and, where the provision of services ... ADVANTAGES OF SETTING UP FAMILY OFFICE IN HONG KONG. As an ...Read more",candidate_raw,own-domain result with direct family-office language
"""family office"" ""Hong Kong"" ""multi-family office""",10,About Us | ONE Family Office,https://onefogroup.com/en-uk/aboutus.html,onefogroup.com,ONE Family Office is a Hong Kong-based multi-family office that provides independent wealth management solutions and other family governance solutions.Read more,candidate_raw,own-domain result with direct family-office language
