family_office_name,run_id,status,item_count,credits_used_usd,error
Cat Trail Capital,VoS8DgFLaqYnxvp99,SUCCEEDED,1,0.0002,
Ralph Family Office,YWifo5BkadB7ObRNB,SUCCEEDED,1,0.0002,
Ohana Advisors,mBE3XNZsvSKSbMKgk,SUCCEEDED,4,0.0002,
Longwall Family Office,KZ7uytvJaU9VIKrvS,SUCCEEDED,1,0.0002,
SJS Investment Services,Xajhop6aSo6AdtmEH,SUCCEEDED,3,0.0002,
CM Wealth,fzXFE5bDImNhmPIoB,SUCCEEDED,5,0.0002,
JFG Family Office,OyHZzAWTEr9cXTN77,SUCCEEDED,2,0.0002,
Lennertz & Co.,WF7xJ09eICGkRPwcO,SUCCEEDED,5,0.0,
Venitage,jI3HpVf6cdgjLfrh0,SUCCEEDED,1,0.0002,
Boston Multi Family Office,szkxkfxJ7qsT0aP3l,SUCCEEDED,5,0.0,
The O'Donnell Group,ohyiyYMDN6J99L7wn,SUCCEEDED,1,0.0002,
SSA Swiss Advisors AG,B9qSSxs999KiEoHxp,SUCCEEDED,1,0.0002,
Scott Capital Partners,b4am9nMawoPIDEPVN,SUCCEEDED,5,0.0,
Third View Private Wealth,FavMeIRy5SRCsuBXC,SUCCEEDED,5,0.0002,
Haven Private,o5udCcUwliYuOcB31,SUCCEEDED,5,0.0002,
PremjiInvest,ffwYfo3UgsWlKBXzl,SUCCEEDED,5,0.0,
Wildcat Capital Management,eUegXLbJRvQxtjw6B,SUCCEEDED,5,0.0002,
AT Capital Group,k0TSGW2QLG1Bb5D6i,SUCCEEDED,5,0.0002,
East Rock Capital,OAcblsyTGlE4jdWsm,SUCCEEDED,5,0.0,
Verlinvest,vkQXMbIXuLhlb8BGk,SUCCEEDED,5,0.0002,
Okabena Company,K9UhN2ROEOzKGZfHd,SUCCEEDED,3,0.0002,
Major Domus,txFQdWFx3OHsvRBDu,SUCCEEDED,2,0.0002,
Persimmon Capital Management,fiRr5XRbZBuwZp7cc,SUCCEEDED,1,0.0002,
Cypress Point Wealth Management,LmSCrVgaZJPTNQ2Ec,SUCCEEDED,5,0.0002,
Hamilton Gray Wealth Management,22tr1AKAAHmzhGYZV,SUCCEEDED,1,0.0002,
Yamauchi No. 10 Family Office,6KKmFjFnXSX8rEePL,SUCCEEDED,5,0.0002,
Indie Asset Partners,xdgabJoDAcl7mt30a,SUCCEEDED,1,0.0002,
Marinya Capital,QSuOiMlCCPoujnYvR,SUCCEEDED,5,0.0002,
Reimann Investors,H0Rq8kA55xhIv491w,SUCCEEDED,5,0.0,
Private Wealth Asset Management,uBzzxVWUgcRRft35p,SUCCEEDED,5,0.0,
Bessemer Trust,sCxgY4SlDlovG7jR1,SUCCEEDED,5,0.0002,
Pathstone,CeaMcQsVR4CEoZD5l,SUCCEEDED,5,0.0002,
Cresset,bkAWsYLjoBE6lQemh,SUCCEEDED,5,0.0,
AlTi Tiedemann Global,JalHXgxjfJZqLyy8d,SUCCEEDED,5,0.0,
WE Family Offices,p4wNp2U3qqhTJi5Sj,SUCCEEDED,5,0.0002,
Stonehage Fleming,n86PpVyz48H7cwIGg,SUCCEEDED,5,0.0,
Omnia Family Wealth,rodOgz3Z7emmIjvAf,SUCCEEDED,5,0.0,
Ballentine Partners,3zKsm8fYxOh5wrlWO,SUCCEEDED,5,0.0002,
TwinFocus,rxd966m1xd6750uez,SUCCEEDED,5,0.0002,
Laird Norton Wetherby,MxCOIwSNa1gJtLX1b,SUCCEEDED,5,0.0,
Aspiriant,u7wp18lVcJiQf0lGv,SUCCEEDED,5,0.0,
Homrich Berg,5yVjBNjtigTJkZcbi,SUCCEEDED,5,0.0002,
Tolleson Wealth Management,DoOLuCgqmZtg4MlEa,SUCCEEDED,5,0.0002,
Greycourt,kpD65Eitq0Z4dNcA1,SUCCEEDED,5,0.0002,
Matter Family Office,rCyeM9IG5r4zg8wms,SUCCEEDED,5,0.0002,
Fiduciary Trust International,z0GjH1J70xIfhO7Ov,SUCCEEDED,5,0.0002,
Cerity Partners,h7s5R38pgvwKrJJax,SUCCEEDED,5,0.0002,
Whittier Trust,M0PqHhrLVALKJh30B,SUCCEEDED,5,0.0,
Silvercrest Asset Management,uizjsYVR0JcfGBTcF,SUCCEEDED,5,0.0,
Wren Investment Office,KTl9FbjoPjyLTrSMU,SUCCEEDED,5,0.0,
