run_label,actor_id,run_purpose,region_batch,started_at_utc,finished_at_utc,run_id,status,item_count,credits_used_usd,export_json_path,export_csv_path,candidate_count_added,limitations
evidence_smoke_10,apify/website-content-crawler,Evidence capture,exact_source_urls,2026-05-16T22:28:32Z,2026-05-16T22:29:06Z,onWNujzeevwJc0eXb,SUCCEEDED,8,0.014536790145486594,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_smoke_10.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_smoke_10.csv,,Depth-0 crawl of exact evidence URLs; PDFs excluded.
evidence_exact_sources_full,apify/website-content-crawler,Evidence capture,exact_source_urls,2026-05-16T22:29:29Z,2026-05-16T22:36:25Z,hrfy3ixI8vl8FSkJG,SUCCEEDED,98,0.1885829171188391,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_full.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_full.csv,,Depth-0 crawl of exact evidence URLs; PDFs excluded.
us_discovery_family_office_01,apify/google-search-scraper,Discovery,us,2026-05-16T22:39:19Z,2026-05-16T22:39:38Z,IK69jr8yvadwxhZEt,SUCCEEDED,6,0.0235,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\us_discovery_family_office_01.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\us_discovery_family_office_01.csv,,SERP output is discovery only; rows require manual validation.
evidence_exact_sources_full_refresh,apify/website-content-crawler,Evidence capture,exact_source_urls,2026-05-16T22:49:41Z,2026-05-16T22:56:45Z,xqBlbM3IGBhL9Qc4P,SUCCEEDED,96,0.19459784688463477,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_full_refresh.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_full_refresh.csv,,Depth-0 crawl of exact evidence URLs; PDFs excluded.
evidence_exact_sources_final,apify/website-content-crawler,Evidence capture,exact_source_urls,2026-05-16T23:00:16Z,2026-05-16T23:07:28Z,kJ6AMWfmWY06W3Q42,SUCCEEDED,99,0.19725652384351858,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_final.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_final.csv,,Depth-0 crawl of exact evidence URLs; PDFs excluded.
evidence_exact_sources_final_2,apify/website-content-crawler,Evidence capture,exact_source_urls,2026-05-16T23:11:12Z,2026-05-16T23:19:25Z,yNjCjPJ1oE6W1DfWF,SUCCEEDED,100,0.22797458067525428,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_final_2.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-16\evidence_exact_sources_final_2.csv,,Depth-0 crawl of exact evidence URLs; PDFs excluded.
evidence_exact_sources_full_2026_05_17,apify/website-content-crawler,Evidence capture,exact_source_urls,2026-05-17T03:36:54Z,2026-05-17T03:44:45Z,HWnEaxlfv1m8hSe3o,SUCCEEDED,100,0.21610696030022036,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\evidence_exact_sources_full_2026_05_17.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\evidence_exact_sources_full_2026_05_17.csv,,Depth-0 crawl of exact evidence URLs; PDFs excluded.
us_discovery_family_office_2026_05_17,apify/google-search-scraper,Discovery,us,2026-05-17T03:45:06Z,2026-05-17T03:45:28Z,4jLAUarh6H2QbNkJ2,SUCCEEDED,6,0.0235,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\us_discovery_family_office_2026_05_17.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\us_discovery_family_office_2026_05_17.csv,,SERP output is discovery only; rows require manual validation.
global_discovery_family_office_2026_05_17,apify/google-search-scraper,Discovery,gb,2026-05-17T03:45:31Z,2026-05-17T03:46:01Z,ysy7B9mu8h19tclSt,SUCCEEDED,6,0.019,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\global_discovery_family_office_2026_05_17.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\global_discovery_family_office_2026_05_17.csv,,SERP output is discovery only; rows require manual validation.
contact_info_official_websites_2026_05_17,vdrmota/contact-info-scraper,Contact extraction,official_websites_only,2026-05-17T03:52:44Z,2026-05-17T03:53:57Z,O9ayKgrcMasw886Ky,SUCCEEDED,50,0.28400000000000003,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\contact_info_official_websites_2026_05_17.json,D:\PolarityIQ_Workspace\fo_dataset_pipeline\data\evidence\raw_apify_exports\2026-05-17\contact_info_official_websites_2026_05_17.csv,,Lead enrichment disabled; public emails/phones only; not auto-promoted into final dataset.
email_verifier_contact_info_2026_05_17_blocked,account56/email-verifier,Email validation,contact_info_public_emails,2026-05-17T03:56:00Z,2026-05-17T03:56:00Z,,BLOCKED_403_PERMISSION_APPROVAL_REQUIRED,0,,,data/processed/email_validation_evidence.csv,,Apify account must approve full-permission actor before account56/email-verifier can run; local syntax/MX fallback generated instead.
